,Match_ID,Season,Team_1,Team_2,Toss_Winner,Toss_Decision,Venue,City,Result,Winner,Win_Margin,Win_Type,Player_Of_Match
195,78265,2016-17,Sydney Sixers,Sydney Thunder,Sydney Sixers,Batting,Sydney Cricket Ground,Sydney,True,Sydney Thunder,8,wickets,Fawad Ahmed
196,78267,2016-17,Perth Scorchers,Melbourne Stars,Perth Scorchers,Batting,"Western Australia Cricket Association Ground, Perth",Perth,True,Melbourne Stars,7,wickets,MA Beer
197,78269,2016-17,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Bowling,Adelaide Oval,Adelaide,True,Melbourne Renegades,6,runs,MS Harris
198,78271,2016-17,Melbourne Stars,Brisbane Heat,Melbourne Stars,Batting,Melbourne Cricket Ground,Melbourne,True,Brisbane Heat,7,wickets,MJ Swepson
199,78273,2016-17,Adelaide Strikers,Sydney Thunder,Sydney Thunder,Bowling,Sydney Showground Stadium,Sydney,True,Adelaide Strikers,77,runs,IS Sodhi
200,78275,2016-17,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Melbourne Renegades,1,run,AJ Finch
201,78277,2016-17,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Bowling,"Bellerive Oval, Hobart",Hobart,True,Perth Scorchers,7,wickets,SE Marsh
202,78279,2016-17,Melbourne Stars,Sydney Sixers,Sydney Sixers,Bowling,Melbourne Cricket Ground,Melbourne,True,Sydney Sixers,3,wickets,SA Abbott
203,78281,2016-17,Melbourne Stars,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,7,wickets,MG Johnson
204,78283,2016-17,Brisbane Heat,Sydney Sixers,Sydney Sixers,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,,0,SuperOver,MC Henriques
205,78285,2016-17,Sydney Sixers,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,9,wickets,JA Richardson
206,84423,2017-18,Sydney Sixers,Sydney Thunder,Sydney Thunder,Bowling,Sydney Showground Stadium,Sydney,True,Sydney Thunder,5,wickets,SR Watson
207,84424,2017-18,Brisbane Heat,Melbourne Stars,Melbourne Stars,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,15,runs,MP Stoinis
208,84425,2017-18,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Bowling,"Bellerive Oval, Hobart",Hobart,True,Melbourne Renegades,7,wickets,DJ Bravo
209,84426,2017-18,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,53,runs,Rashid Khan
210,84427,2017-18,Sydney Sixers,Perth Scorchers,Perth Scorchers,Bowling,Sydney Cricket Ground,Sydney,True,Perth Scorchers,6,wickets,AJ Turner
211,84428,2017-18,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,7,wickets,JD Wildermuth
212,84429,2017-18,Perth Scorchers,Melbourne Stars,Melbourne Stars,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,13,runs,HWR Cartwright
213,84430,2017-18,Sydney Thunder,Brisbane Heat,Sydney Thunder,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,6,wickets,AI Ross
214,84431,2017-18,Adelaide Strikers,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Adelaide Strikers,6,runs,AT Carey
215,84432,2017-18,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Perth Scorchers,3,wickets,MG Johnson
216,84433,2017-18,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Aurora Stadium, Launceston",Launceston,True,Sydney Thunder,57,runs,JC Buttler
217,84434,2017-18,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,56,runs,MG Neser
218,84435,2017-18,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,Bowling,Sydney Showground Stadium,Sydney,True,Hobart Hurricanes,9,runs,DJM Short
219,84436,2017-18,Sydney Sixers,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,6,wickets,M Klinger
220,84437,2017-18,Melbourne Stars,Brisbane Heat,Brisbane Heat,Bowling,Melbourne Cricket Ground,Melbourne,True,Brisbane Heat,9,wickets,MJ Swepson
221,84438,2017-18,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,Bowling,"GMHBA Stadium, South Geelong, Victoria",Geelong,True,Melbourne Renegades,8,wickets,AJ Finch
222,84439,2017-18,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Batting,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,7,runs,DJM Short
223,84440,2017-18,Brisbane Heat,Perth Scorchers,Perth Scorchers,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,49,runs,BCJ Cutting
224,84441,2017-18,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Bowling,Melbourne Cricket Ground,Melbourne,True,Melbourne Renegades,6,wickets,Mohammad Nabi
225,84442,2017-18,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Batting,Sydney Showground Stadium,Sydney,True,Adelaide Strikers,25,runs,Rashid Khan
226,84443,2017-18,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Batting,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,5,runs,SW Billings
227,84444,2017-18,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,5,wickets,AJ Turner
228,84445,2017-18,Melbourne Stars,Adelaide Strikers,Melbourne Stars,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,8,wickets,TM Head
229,84446,2017-18,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Hobart Hurricanes,3,runs,DJM Short
230,84447,2017-18,Sydney Thunder,Perth Scorchers,Sydney Thunder,Batting,Sydney Showground Stadium,Sydney,True,Sydney Thunder,3,runs,UT Khawaja
231,84448,2017-18,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Stars,23,runs,KP Pietersen
232,84449,2017-18,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Bowling,"Traeger Park, Alice Springs",Alice Springs,True,Perth Scorchers,6,wickets,AC Agar
233,84450,2017-18,Sydney Thunder,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,8,wickets,CJ Green
234,84451,2017-18,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,Batting,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,6,wickets,DT Christian
235,84452,2017-18,Melbourne Stars,Sydney Sixers,Sydney Sixers,Bowling,Melbourne Cricket Ground,Melbourne,True,Sydney Sixers,8,wickets,NM Lyon
236,84453,2017-18,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,11,runs,AT Carey
237,84454,2017-18,Brisbane Heat,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,9,wickets,SA Abbott
238,84455,2017-18,Melbourne Stars,Sydney Thunder,Sydney Thunder,Bowling,Melbourne Cricket Ground,Melbourne,True,Sydney Thunder,7,wickets,SR Watson
239,84456,2017-18,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,5,wickets,AC Agar
240,84457,2017-18,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Adelaide Strikers,26,runs,CA Ingram
241,84458,2017-18,Melbourne Stars,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,5,wickets,JL Denly
242,84459,2017-18,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Bowling,"Manuka Oval, Canberra",Canberra,True,Melbourne Renegades,9,runs,KW Richardson
243,84460,2017-18,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Bowling,"Western Australia Cricket Association Ground, Perth",Perth,True,Perth Scorchers,4,wickets,AC Voges
244,84461,2017-18,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Bowling,Melbourne Cricket Ground,Melbourne,True,Melbourne Stars,3,wickets,KP Pietersen
245,84462,2017-18,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Melbourne Renegades,26,runs,TLW Cooper
246,84463,2017-18,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Bowling,Perth Stadium,Perth,True,Hobart Hurricanes,71,runs,MS Wade
247,84464,2017-18,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,1,run,TM Head
248,84465,2017-18,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,25,runs,J Weatherald
249,88817,2018-19,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Adelaide Strikers,5,wickets,Rashid Khan
250,88818,2018-19,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,4,wickets,Usman Shinwari
251,88819,2018-19,Sydney Thunder,Melbourne Stars,Melbourne Stars,Bowling,"Manuka Oval, Canberra",Canberra,True,Sydney Thunder,15,runs,DR Sams
252,88820,2018-19,Sydney Sixers,Perth Scorchers,Sydney Sixers,Batting,Sydney Cricket Ground,Sydney,True,Sydney Sixers,17,runs,SNJ O'Keefe
253,88821,2018-19,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,Bowling,Carrara Oval,Carrara,True,Hobart Hurricanes,15,runs,DJM Short
254,88822,2018-19,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Bowling,Adelaide Oval,Adelaide,True,Melbourne Renegades,5,wickets,DT Christian
255,88823,2018-19,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,6,wickets,DJM Short
